codigo_nacional,codigo_dcp,nombre_del_medicamento,ficha_tecnica,sustancias_activas,codigo_atc,dosis_y_como_tomar,receta,generico,laboratorio,para_que_se_utiliza,efectos_adversos_y_interacciones
605146,408016004,PARACETAMOL ACCORD 500 mg COMPRIMIDOS EFERVESCENTES EFG,https://cima.aemps.es/cima/pdfs/es/ft/72478/72478_ft.pdf,paracetamol,N02BE01,VÍA ORAL  (Paracetamol 500 mg comprimido efervescente),NO,SI,ACCORD HEALTHCARE S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72478/72478_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72478/72478_ft.pdf
605151,376487009,VALSARTAN NORMON 320 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/72917/72917_ft.pdf,valsartán,C09CA03,VÍA ORAL  (Valsartán 320 mg comprimido),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72917/72917_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72917/72917_ft.pdf
605152,66321000140104,"GELOPLASMA, SOLUCION PARA PERFUSION",https://cima.aemps.es/cima/pdfs/es/ft/68045/68045_ft.pdf,multicomponente,B05AA06,VÍA INTRAVENOSA  (Soluciones sustitutivas de plasma),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/68045/68045_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/68045/68045_ft.pdf
605165,318987008,MICARDIS 80 MG COMPRIMIDOS,https://cima.aemps.es/cima/pdfs/es/ft/98090022/98090022_ft.pdf,telmisartán,C09CA07,VÍA ORAL  (Telmisartán 80 mg comprimido),SI,NO,BOEHRINGER INGELHEIM INTERNATIONAL GMBH,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/98090022/98090022_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/98090022/98090022_ft.pdf
605166,416532007,MENVEO POLVO Y SOLUCION PARA SOLUCION INYECTABLE,https://cima.aemps.es/cima/pdfs/es/ft/10614002/10614002_ft.pdf,vacuna anti meningococo A/C/W135/Y,J07AH08,VÍA INTRAMUSCULAR  (Vacuna inactivada anti meningococo A/C/W135/Y conjugada inyectable),SI,NO,GLAXOSMITHKLINE VACCINES S.R.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/10614002/10614002_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/10614002/10614002_ft.pdf
605170,23491000140106,MIDAZOLAM HOSPIRA 5 mg/ml SOLUCION INYECTABLE EFG,https://cima.aemps.es/cima/pdfs/es/ft/62436/62436_ft.pdf,midazolam,N05CD08,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA, VÍA RECTAL  (Midazolam 15 mg inyectable 3 ml)",SI,SI,"HOSPIRA PRODUCTOS FARMACÉUTICOS Y HOSPITALARIOS, S.L.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62436/62436_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62436/62436_ft.pdf
605220,319801001,TICLOPIDINA NORMON 250 mg COMPRIMIDOS RECUBIERTOS EFG,https://cima.aemps.es/cima/pdfs/es/ft/62323/62323_ft.pdf,ticlopidina,B01AC05,VÍA ORAL  (Ticlopidina 250 mg comprimido),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62323/62323_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62323/62323_ft.pdf
605345,5391000140109,FARMAPROINA VIAL POLVO O LIOFILIZADO + AMPOLLA DIS,No Disponible,bencilpenicilina procaína,J01CE09,VÍA INTRAMUSCULAR  (Bencilpenicilina procaína 1.200.000 UI inyectable),SI,NO,"LABORATORIOS REIG JOFRE, S.A.",No Disponible,No Disponible
605378,5231000140101,SODIOPEN 2.000.000 U.I.,No Disponible,penicilina G,J01CE01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Bencilpenicilina 2.000.000 UI inyectable)",SI,NO,"LABORATORIOS REIG JOFRE, S.A.",No Disponible,No Disponible
605384,67351000140106,"VIAFLO GLUCOSALINO POTASICO 4%, 0,18%, 0,15% SOLUCION PARA PERFUSION",https://cima.aemps.es/cima/pdfs/es/ft/73161/73161_ft.pdf,glucosa + sodio cloruro + potasio cloruro,B05BB02,"VÍA INTRAVENOSA  (Glucosa 4%/Sodio cloruro 0,18%/Potasio cloruro 10 meq/500 ml inyectable perfusión)",SI,NO,BAXTER S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73161/73161_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73161/73161_ft.pdf
605385,67361000140108,"VIAFLO GLUCOSALINO POTASICO 4%, 0,18%, 0,15% SOLUCION PARA PERFUSION",https://cima.aemps.es/cima/pdfs/es/ft/73161/73161_ft.pdf,glucosa + sodio cloruro + potasio cloruro,B05BB02,"VÍA INTRAVENOSA  (Glucosa 4%/Sodio cloruro 0,18%/Potasio cloruro 20 meq/1.000 ml inyectable perfusión)",SI,NO,BAXTER S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73161/73161_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73161/73161_ft.pdf
605388,324344005,MEROPENEM HOSPIRA 1 G. POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/73815/73815_ft.pdf,meropenem,J01DH02,VÍA INTRAVENOSA  (Meropenem 1.000 mg inyectable),SI,SI,PFIZER S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73815/73815_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73815/73815_ft.pdf
605389,324343004,MEROPENEM HOSPIRA 500 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/73817/73817_ft.pdf,meropenem,J01DH02,VÍA INTRAVENOSA  (Meropenem 500 mg inyectable),SI,SI,PFIZER S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73817/73817_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73817/73817_ft.pdf
605391,317320001,PANTOPRAZOL SERRACLINICS 40 mg POLVO PARA SOLUCION INYECTABLE EFG,https://cima.aemps.es/cima/pdfs/es/ft/72828/72828_ft.pdf,pantoprazol,A02BC02,VÍA INTRAVENOSA  (Pantoprazol 40 mg inyectable),SI,SI,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72828/72828_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72828/72828_ft.pdf
605396,77941000140103,"BOTOX 50 UNIDADES ALLERGAN, POLVO PARA SOLUCIÓN INYECTABLE",https://cima.aemps.es/cima/pdfs/es/ft/70602/70602_ft.pdf,toxina botulínica A,M03AX01,"VÍA INTRADÉRMICA, VÍA INTRAMUSCULAR  (Toxina botulínica A 50 U inyectable)",SI,NO,"ABBVIE SPAIN, S.L.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/70602/70602_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/70602/70602_ft.pdf
605398,325474006,DEFLAZACORT NORMON 30 mg COMPRIMIDOS EFG,https://cima.aemps.es/cima/pdfs/es/ft/73850/73850_ft.pdf,deflazacort,H02AB13,VÍA ORAL  (Deflazacort 30 mg comprimido),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73850/73850_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73850/73850_ft.pdf
605400,64161000140101,"PLANTAGO OVATA LAINCO 3,5 g POLVO PARA SUSPENSION ORAL",https://cima.aemps.es/cima/pdfs/es/ft/73919/73919_ft.pdf,Plantago ovata,A06AC01,VÍA ORAL  (Plantago ovata 3.500 mg solución/suspensión oral sobre),SI,NO,LAINCO S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73919/73919_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73919/73919_ft.pdf
605407,322179002,ONDANSETRON ACCORD 2 mg/ml SOLUCION INYECTABLE EFG,https://cima.aemps.es/cima/pdfs/es/ft/72117/72117_ft.pdf,ondansetrón,A04AA01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Ondansetrón 8 mg inyectable 4 ml)",SI,SI,ACCORD HEALTHCARE S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72117/72117_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72117/72117_ft.pdf
605408,322172006,ONDANSETRON ACCORD 2 mg/ml SOLUCION INYECTABLE EFG,https://cima.aemps.es/cima/pdfs/es/ft/72117/72117_ft.pdf,ondansetrón,A04AA01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA  (Ondansetrón 4 mg inyectable 2 ml)",SI,SI,ACCORD HEALTHCARE S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72117/72117_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72117/72117_ft.pdf
605412,320348004,ATROALDO 20 microgramos/PULSACION SOLUCION PARA INHALACION EN ENVASE A PRESION,https://cima.aemps.es/cima/pdfs/es/ft/72581/72581_ft.pdf,bromuro ipratropio,R03BB01,VÍA INHALATORIA  (Bromuro ipratropio 20 microgramos/dosis inhalación pulmonar),SI,NO,LABORATORIO ALDO UNION S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72581/72581_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72581/72581_ft.pdf
605413,398684008,AGUA PARA PREPARACIONES INYECTABLES SERRA PAMIES disolvente para uso parenteral,https://cima.aemps.es/cima/pdfs/es/ft/62052/62052_ft.pdf,agua estéril para preparaciones inyectables,V07AB94,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA, VÍA SUBCUTÁNEA  (Agua estéril inyectable 10 ml)",SI,NO,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62052/62052_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62052/62052_ft.pdf
605424,374495005,"BOTOX 100 UNIDADES ALLERGAN, POLVO PARA SOLUCIÓN INYECTABLE",https://cima.aemps.es/cima/pdfs/es/ft/63194/63194_ft.pdf,toxina botulínica A,M03AX01,"VÍA INTRADÉRMICA, VÍA INTRAMUSCULAR  (Toxina botulínica A 100 U inyectable)",SI,NO,"ABBVIE SPAIN, S.L.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63194/63194_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/63194/63194_ft.pdf
605441,327106003,MICOFENOLATO MOFETILO NORMON 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/74053/74053_ft.pdf,micofenolato mofetilo,L04AA06,VÍA ORAL  (Micofenolato de mofetilo 500 mg comprimido),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74053/74053_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74053/74053_ft.pdf
605455,324343004,MEROPENEM KABI 500 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/72610/72610_ft.pdf,meropenem,J01DH02,VÍA INTRAVENOSA  (Meropenem 500 mg inyectable),SI,SI,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72610/72610_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72610/72610_ft.pdf
605457,324344005,MEROPENEM KABI 1000 mg POLVO PARA SOLUCION INYECTABLE O PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/72611/72611_ft.pdf,meropenem,J01DH02,VÍA INTRAVENOSA  (Meropenem 1.000 mg inyectable),SI,SI,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72611/72611_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72611/72611_ft.pdf
605460,3121000140109,"ELIQUIS 2,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA",https://cima.aemps.es/cima/pdfs/es/ft/11691005/11691005_ft.pdf,apixabán,B01AF02,"VÍA ORAL  (Apixabán 2,5 mg comprimido)",SI,NO,BRISTOL-MYERS SQUIBB/PFIZER EEIG,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/11691005/11691005_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/11691005/11691005_ft.pdf
605473,19191000140107,LEVOFLOXACINO ACCORD 5 mg/ml SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/74208/74208_ft.pdf,levofloxacino,J01MA12,VÍA INTRAVENOSA  (Levofloxacino 500 mg inyectable perfusión 100 ml),SI,SI,ACCORD HEALTHCARE S.L.U.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74208/74208_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74208/74208_ft.pdf
605479,321964006,PAROXETINA AUROBINDO 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/73472/73472_ft.pdf,paroxetina,N06AB05,VÍA ORAL  (Paroxetina 20 mg comprimido),SI,SI,"LABORATORIOS AUROBINDO, S.L.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73472/73472_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73472/73472_ft.pdf
605480,321966008,PAROXETINA AUROBINDO 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/73471/73471_ft.pdf,paroxetina,N06AB05,VÍA ORAL  (Paroxetina 30 mg comprimido),SI,NO,"LABORATORIOS AUROBINDO, S.L.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73471/73471_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73471/73471_ft.pdf
605492,324634001,LEVOFLOXACINO SUPPORT PHARMA EUROPE 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/74259/74259_ft.pdf,levofloxacino,J01MA12,VÍA ORAL  (Levofloxacino 500 mg comprimido),SI,SI,LABORATORIOS SUPPORT PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74259/74259_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74259/74259_ft.pdf
605495,324634001,LEVOFLOXACINO SUPPORT PHARMA INTERNACIONAL 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/74238/74238_ft.pdf,levofloxacino,J01MA12,VÍA ORAL  (Levofloxacino 500 mg comprimido),SI,SI,LABORATORIOS SUPPORT PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74238/74238_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74238/74238_ft.pdf
605505,19191000140107,LEVOFLOXACINO AUROVITAS SPAIN 5 mg/ml SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/73918/73918_ft.pdf,levofloxacino,J01MA12,VÍA INTRAVENOSA  (Levofloxacino 500 mg inyectable perfusión 100 ml),SI,SI,"AUROVITAS SPAIN, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73918/73918_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73918/73918_ft.pdf
605506,327384009,GEPEX 25 mg COMPRIMIDOS RECUBIERTOS EFG,https://cima.aemps.es/cima/pdfs/es/ft/74307/74307_ft.pdf,exemestano,L02BG06,VÍA ORAL  (Exemestano 25 mg comprimido),SI,SI,GP PHARM S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74307/74307_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74307/74307_ft.pdf
605510,377441009,"TRAMADOL/PARACETAMOL NORMON 37,5 mg/ 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",https://cima.aemps.es/cima/pdfs/es/ft/74340/74340_ft.pdf,tramadol + paracetamol,N02AJ13,"VÍA ORAL  (Tramadol/Paracetamol 37,5 mg/325 mg comprimido)",SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74340/74340_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74340/74340_ft.pdf
605511,135589009,HURRICAINE  200 mg/g GEL BUCAL,https://cima.aemps.es/cima/pdfs/es/ft/59360/59360_ft.pdf,benzocaína,N01BA05,Vía bucal (buccal use)  (Benzocaína 200 mg/g gel/pasta/líquido bucal),NO,NO,LABORATORIOS CLARBEN S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/59360/59360_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/59360/59360_ft.pdf
605515,319283006,AMLODIPINO AUROBINDO 5 mg COMPRIMIDOS EFG,https://cima.aemps.es/cima/pdfs/es/ft/73957/73957_ft.pdf,amlodipino,C08CA01,VÍA ORAL  (Amlodipino 5 mg comprimido),SI,SI,"LABORATORIOS AUROBINDO, S.L.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73957/73957_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73957/73957_ft.pdf
605516,319284000,AMLODIPINO AUROBINDO 10 mg COMPRIMIDOS EFG,https://cima.aemps.es/cima/pdfs/es/ft/73958/73958_ft.pdf,amlodipino,C08CA01,VÍA ORAL  (Amlodipino 10 mg comprimido),SI,SI,"LABORATORIOS AUROBINDO, S.L.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73958/73958_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73958/73958_ft.pdf
605560,317972000,FUROSEMIDA KERN PHARMA 40 mg COMPRIMIDOS EFG,https://cima.aemps.es/cima/pdfs/es/ft/69620/69620_ft.pdf,furosemida,C03CA01,VÍA ORAL  (Furosemida 40 mg comprimido),SI,SI,KERN PHARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/69620/69620_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/69620/69620_ft.pdf
605565,67411000140104,IONOLYTE SOLUCION  PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/74568/74568_ft.pdf,multicomponente,B05BB01,VÍA INTRAVENOSA  (Soluciones que afectan al equilibrio electrolítico),SI,NO,"FRESENIUS KABI ESPAÑA, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74568/74568_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74568/74568_ft.pdf
605570,321622008,OLANZAPINA NORMON 5 mg COMPRIMIDOS BUCODISPERSABLES EFG,https://cima.aemps.es/cima/pdfs/es/ft/73599/73599_ft.pdf,olanzapina,N05AH03,VÍA ORAL  (Olanzapina 5 mg comprimido bucodispersable/liotab),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73599/73599_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73599/73599_ft.pdf
605571,321623003,OLANZAPINA NORMON 10 mg COMPRIMIDOS BUCODISPERSABLES EFG,https://cima.aemps.es/cima/pdfs/es/ft/73600/73600_ft.pdf,olanzapina,N05AH03,VÍA ORAL  (Olanzapina 10 mg comprimido bucodispersable/liotab),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73600/73600_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73600/73600_ft.pdf
605576,329607001,VOLTAREN RETARD 75 mg COMPRIMIDOS DE LIBERACION MODIFICADA,https://cima.aemps.es/cima/pdfs/es/ft/62024/62024_ft.pdf,diclofenaco,M01AB05,VÍA ORAL  (Diclofenaco 75 mg comprimido liberación modificada),SI,NO,NOVARTIS FARMACEUTICA S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62024/62024_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62024/62024_ft.pdf
605577,77941000140103,BOCOUTURE 50 UNIDADES POLVO PARA SOLUCION INYECTABLE,https://cima.aemps.es/cima/pdfs/es/ft/72709/72709_ft.pdf,toxina botulínica A,M03AX01,VÍA INTRAMUSCULAR  (Toxina botulínica A 50 U inyectable),SI,NO,MERZ PHARMACEUTICALS GMBH,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72709/72709_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72709/72709_ft.pdf
605578,333872008,PROPOFOL LIPOVEN FRESENIUS 10 mg/ml EMULSION INYECTABLE Y PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/67164/67164_ft.pdf,propofol,N01AX10,VÍA INTRAVENOSA  (Propofol 10 mg/ml inyectable 50 ml),SI,NO,FRESENIUS KABI DEUTSCHLAND GMBH,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67164/67164_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67164/67164_ft.pdf
605579,333874009,PROPOFOL LIPOVEN FRESENIUS 10 mg/ml EMULSION INYECTABLE Y PARA PERFUSION,https://cima.aemps.es/cima/pdfs/es/ft/67164/67164_ft.pdf,propofol,N01AX10,VÍA INTRAVENOSA  (Propofol 10 mg/ml inyectable 100 ml),SI,NO,FRESENIUS KABI DEUTSCHLAND GMBH,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67164/67164_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/67164/67164_ft.pdf
605582,13321000140109,ASTEFOR 400/30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,https://cima.aemps.es/cima/pdfs/es/ft/68541/68541_ft.pdf,ibuprofeno + codeína,N02AJ08,VÍA ORAL  (Ibuprofeno/Codeína 400 mg/30 mg comprimido),SI,NO,FARMASIERRA LABORATORIOS S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/68541/68541_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/68541/68541_ft.pdf
605583,406330009,CLORURO SODICO SERRA PAMIES 9 mg/ml DISOLVENTE PARA USO PARENTERAL,https://cima.aemps.es/cima/pdfs/es/ft/62283/62283_ft.pdf,sodio cloruro,B05BB01,"VÍA INTRAMUSCULAR, VÍA INTRAVENOSA, VÍA SUBCUTÁNEA  (Sodio cloruro 0,9% inyectable 10 ml)",SI,NO,LABORATORIOS SERRA PAMIES S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62283/62283_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/62283/62283_ft.pdf
605586,317291008,OMEPRAZOL AUROBINDO 20 mg CAPSULAS DURAS GASTRORRESISTENTES EFG,https://cima.aemps.es/cima/pdfs/es/ft/73994/73994_ft.pdf,omeprazol,A02BC01,VÍA ORAL  (Omeprazol 20 mg cápsula),SI,SI,"LABORATORIOS AUROBINDO, S.L.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73994/73994_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73994/73994_ft.pdf
605587,317291008,OMEPRAZOL AUROBINDO 20 mg CAPSULAS DURAS GASTRORRESISTENTES EFG,https://cima.aemps.es/cima/pdfs/es/ft/73994/73994_ft.pdf,omeprazol,A02BC01,VÍA ORAL  (Omeprazol 20 mg cápsula),SI,SI,"LABORATORIOS AUROBINDO, S.L.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73994/73994_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73994/73994_ft.pdf
605593,413397005,PARACETAMOL AUROVITAS 10 mg/ml SOLUCION PARA PERFUSION EFG,https://cima.aemps.es/cima/pdfs/es/ft/72214/72214_ft.pdf,paracetamol,N02BE01,VÍA INTRAVENOSA  (Paracetamol 1.000 mg inyectable perfusión 100 ml),SI,SI,"AUROVITAS SPAIN, S.A.U.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72214/72214_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/72214/72214_ft.pdf
605610,62181000140101,AIRE MEDICINAL SINTETICO OXIGEN SALUD 22% V/V GAS COMPRIMIDO MEDICINAL,https://cima.aemps.es/cima/pdfs/es/ft/74947/74947_ft.pdf,oxigeno gaseoso,V03AN01,VÍA INHALATORIA  (Oxígeno 22% v/v gas medicinal),SI,NO,OXIGEN SALUD S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74947/74947_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74947/74947_ft.pdf
605611,329654002,IBUPROFENO BLUEPHARMA 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/73489/73489_ft.pdf,ibuprofeno,M01AE01,VÍA ORAL  (Ibuprofeno 600 mg comprimido),SI,SI,"LABORATORIOS BLUEPHARMA, S.L.",consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73489/73489_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/73489/73489_ft.pdf
605620,327384009,EXEMESTANO DESGEN 25 mg COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/74921/74921_ft.pdf,exemestano,L02BG06,VÍA ORAL  (Exemestano 25 mg comprimido),SI,SI,LABORATORIO GENERFARMA S.L.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74921/74921_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/74921/74921_ft.pdf
605628,323054005,LEVETIRACETAM NORMON 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,https://cima.aemps.es/cima/pdfs/es/ft/75042/75042_ft.pdf,levetiracetam,N03AX14,VÍA ORAL  (Levetiracetam 500 mg comprimido),SI,SI,LABORATORIOS NORMON S.A.,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/75042/75042_ft.pdf,consultar ficha técnica en https://cima.aemps.es/cima/pdfs/es/ft/75042/75042_ft.pdf
